"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_022.1","239",1,1,1,"negative","26M_F.png","Context001.jpg",11.1848,"1!",1.0161
"SON2_022.2","239",1,2,2,"neutral","24M_N.png","Context002.jpg",13.2355,"7&",1.2118
"SON2_022.3","239",1,3,3,"positive","07F_H.png","Context003.jpg",15.3021,"7&",0.9058
"SON2_022.4","239",1,4,4,"positive","11F_H.png","Context004.jpg",17.3527,"7&",0.8529
"SON2_022.5","239",1,5,5,"neutral","28M_N.png","Context001.jpg",19.4027,"1!",1.0955
"SON2_022.6","239",1,6,6,"negative","22M_F.png","Context002.jpg",21.4527,"1!",0.682
"SON2_022.7","239",1,7,7,"neutral","11F_N.png","Context003.jpg",23.5029,"7&",0.8068
"SON2_022.8","239",1,8,8,"positive","16F_H.png","Context004.jpg",25.5542,"7&",1.4586
"SON2_022.9","239",1,9,9,"neutral","33M_N.png","Context004.jpg",27.6037,"1!",0.8483
"SON2_022.10","239",1,10,10,"positive","09F_H.png","Context004.jpg",29.6536,"7&",0.8291
"SON2_022.11","239",1,11,11,"negative","15F_F.png","Context004.jpg",31.7032,"7&",0.9605
"SON2_022.12","239",1,12,12,"positive","05F_H.png","Context004.jpg",33.7537,"7&",1.3435
"SON2_022.13","239",1,13,13,"negative","38M_F.png","Context004.jpg",35.804,"1!",1.046
"SON2_022.14","239",1,14,14,"negative","30M_F.png","Context004.jpg",37.8545,"1!",0.8358
"SON2_022.15","239",1,15,15,"negative","17F_F.png","Context004.jpg",39.9044,"7&",0.7817
"SON2_022.16","239",1,16,16,"positive","08F_H.png","Context004.jpg",41.9539,"7&",0.7494
"SON2_022.17","239",1,17,17,"negative","29M_F.png","Context004.jpg",44.0048,"1!",0.8721
"SON2_022.18","239",1,18,18,"neutral","08F_N.png","Context004.jpg",46.0548,"7&",0.6798
"SON2_022.19","239",1,19,19,"negative","33M_F.png","Context004.jpg",48.1045,"7&",1.0095
"SON2_022.20","239",1,20,20,"negative","31M_F.png","Context004.jpg",50.1545,"7&",1.2979
"SON2_022.21","239",1,21,21,"negative","37M_F.png","Context004.jpg",52.2046,"1!",0.964
"SON2_022.22","239",1,22,22,"neutral","22M_N.png","Context004.jpg",54.2564,"1!",0.8496
"SON2_022.23","239",1,23,23,"neutral","37M_N.png","Context004.jpg",56.3056,"1!",0.9734
"SON2_022.24","239",1,24,24,"positive","20M_H.png","Context004.jpg",58.3556,"7&",0.6691
"SON2_022.25","239",1,25,25,"neutral","31M_N.png","Context004.jpg",60.4059,"1!",0.8139
"SON2_022.26","239",1,26,26,"positive","01F_H.png","Context004.jpg",62.4557,"7&",0.5666
"SON2_022.27","239",1,27,27,"positive","22M_H.png","Context004.jpg",64.5062,"7&",1.3403
"SON2_022.28","239",1,28,28,"neutral","41M_N.png","Context004.jpg",66.5558,"7&",0.9411
"SON2_022.29","239",1,29,29,"neutral","06F_N.png","Context004.jpg",68.6055,"7&",1.3538
"SON2_022.30","239",1,30,30,"positive","43M_H.png","Context004.jpg",70.6562,"7&",0.6444
"SON2_022.31","239",1,31,31,"positive","02F_H.png","Context004.jpg",72.7059,"7&",0.7952
"SON2_022.32","239",1,32,32,"neutral","16F_N.png","Context004.jpg",74.7565,"1!",0.6909
"SON2_022.33","239",1,33,33,"positive","32M_H.png","Context004.jpg",76.8069,"1!",0.7177
"SON2_022.34","239",1,34,34,"positive","17F_H.png","Context004.jpg",78.8565,"7&",0.7833
"SON2_022.35","239",1,35,35,"positive","33M_H.png","Context004.jpg",80.9064,"7&",1.0001
"SON2_022.36","239",1,36,36,"negative","21M_F.png","Context004.jpg",82.9572,"7&",1.1298
"SON2_022.37","239",1,37,37,"neutral","01F_N.png","Context004.jpg",85.0072,"7&",0.5846
"SON2_022.38","239",1,38,38,"negative","08F_F.png","Context004.jpg",87.0569,"1!",0.8813
"SON2_022.39","239",1,39,39,"neutral","43M_N.png","Context004.jpg",89.1078,"1!",1.0349
"SON2_022.40","239",1,40,40,"negative","12F_F.png","Context004.jpg",91.158,"7&",1.1027
"SON2_022.41","239",1,41,41,"neutral","27M_N.png","Context004.jpg",93.2081,"1!",1.0444
"SON2_022.42","239",1,42,42,"neutral","14F_N.png","Context004.jpg",95.241,"1!",1.1569
"SON2_022.43","239",1,43,43,"positive","30M_H.png","Context004.jpg",97.2913,"1!",0.7724
"SON2_022.44","239",1,44,44,"neutral","03F_N.png","Context004.jpg",99.3417,"7&",1.0102
"SON2_022.45","239",1,45,45,"neutral","23M_N.png","Context004.jpg",101.3914,"7&",0.6336
"SON2_022.46","239",1,46,46,"negative","40M_F.png","Context004.jpg",103.4415,"7&",0.6778
"SON2_022.47","239",1,47,47,"positive","25M_H.png","Context004.jpg",105.492,"1!",0.9525
"SON2_022.48","239",1,48,48,"negative","13F_F.png","Context004.jpg",107.5432,"1!",0.8372
"SON2_022.49","239",1,49,49,"neutral","40M_N.png","Context004.jpg",109.5926,"7&",0.8508
"SON2_022.50","239",1,50,50,"negative","09F_F.png","Context004.jpg",111.6424,"1!",1.0525
"SON2_022.51","239",1,51,51,"negative","16F_F.png","Context004.jpg",113.6754,"7&",0.9981
"SON2_022.52","239",1,52,52,"neutral","26M_N.png","Context004.jpg",115.7265,"1!",0.8458
"SON2_022.53","239",1,53,53,"neutral","07F_N.png","Context004.jpg",117.7767,"7&",0.9012
"SON2_022.54","239",1,54,54,"negative","35M_F.png","Context004.jpg",119.8265,"7&",0.9391
"SON2_022.55","239",1,55,55,"neutral","17F_N.png","Context004.jpg",121.8768,"7&",0.802
"SON2_022.56","239",1,56,56,"neutral","38M_N.png","Context004.jpg",123.9263,"7&",1.0905
"SON2_022.57","239",1,57,57,"positive","18F_H.png","Context004.jpg",125.9762,"7&",0.9133
"SON2_022.58","239",1,58,58,"negative","39M_F.png","Context004.jpg",128.0267,"7&",0.779
"SON2_022.59","239",1,59,59,"negative","27M_F.png","Context004.jpg",130.077,"1!",0.7657
"SON2_022.60","239",1,60,60,"positive","26M_H.png","Context004.jpg",132.127,"1!",0.7323
"SON2_022.61","239",1,61,61,"negative","10F_F.png","Context004.jpg",134.1775,"1!",0.9413
"SON2_022.62","239",1,62,62,"positive","28M_H.png","Context004.jpg",136.2291,"1!",0.7259
"SON2_022.63","239",1,63,63,"neutral","29M_N.png","Context004.jpg",138.2776,"1!",0.9875
"SON2_022.64","239",1,64,64,"negative","19F_F.png","Context004.jpg",140.3275,"7&",1.3713
"SON2_022.65","239",1,65,65,"negative","18F_F.png","Context004.jpg",142.3776,"7&",0.6841
"SON2_022.66","239",1,66,66,"positive","12F_H.png","Context004.jpg",144.4278,"7&",0.6877
"SON2_022.67","239",1,67,67,"positive","14F_H.png","Context004.jpg",146.4784,"7&",0.7275
"SON2_022.68","239",1,68,68,"neutral","42M_N.png","Context004.jpg",148.5279,"7&",0.8602
"SON2_022.69","239",1,69,69,"neutral","34M_N.png","Context004.jpg",150.5783,"1!",0.6185
"SON2_022.70","239",1,70,70,"negative","34M_F.png","Context004.jpg",152.6288,"1!",0.7065
"SON2_022.71","239",1,71,71,"positive","42M_H.png","Context004.jpg",154.678,"7&",0.6149
"SON2_022.72","239",1,72,72,"negative","01F_F.png","Context004.jpg",156.729,"7&",0.5391
"SON2_022.73","239",1,73,73,"negative","05F_F.png","Context004.jpg",158.7785,"7&",0.6351
"SON2_022.74","239",1,74,74,"negative","07F_F.png","Context004.jpg",160.8288,"7&",0.6266
"SON2_022.75","239",1,75,75,"neutral","09F_N.png","Context004.jpg",162.8794,"7&",0.5973
"SON2_022.76","239",1,76,76,"negative","25M_F.png","Context004.jpg",164.929,"1!",0.775
"SON2_022.77","239",1,77,77,"positive","38M_H.png","Context004.jpg",166.9803,"7&",0.9167
"SON2_022.78","239",1,78,78,"neutral","30M_N.png","Context004.jpg",169.03,"7&",0.7153
"SON2_022.79","239",1,79,79,"positive","15F_H.png","Context004.jpg",171.0797,"7&",1.0531
"SON2_022.80","239",1,80,80,"negative","42M_F.png","Context004.jpg",173.1304,"1!",0.7009
"SON2_022.81","239",1,81,81,"negative","02F_F.png","Context004.jpg",175.1803,"1!",0.9856
"SON2_022.82","239",1,82,82,"positive","36M_H.png","Context004.jpg",177.2304,"7&",0.8293
"SON2_022.83","239",1,83,83,"neutral","19F_N.png","Context004.jpg",179.2808,"7&",0.639
"SON2_022.84","239",1,84,84,"negative","11F_F.png","Context004.jpg",181.3307,"7&",0.5866
"SON2_022.85","239",1,85,85,"positive","35M_H.png","Context004.jpg",183.3804,"7&",0.9431
"SON2_022.86","239",1,86,86,"neutral","35M_N.png","Context004.jpg",185.4306,"1!",0.9321
"SON2_022.87","239",1,87,87,"neutral","12F_N.png","Context004.jpg",187.4813,"1!",0.9319
"SON2_022.88","239",1,88,88,"positive","39M_H.png","Context004.jpg",189.5311,"7&",0.9065
"SON2_022.89","239",1,89,89,"positive","40M_H.png","Context004.jpg",191.5813,"7&",0.7453
"SON2_022.90","239",1,90,90,"negative","23M_F.png","Context004.jpg",193.6314,"1!",0.923
"SON2_022.91","239",1,91,91,"positive","21M_H.png","Context004.jpg",195.6818,"1!",0.7638
"SON2_022.92","239",1,92,92,"positive","24M_H.png","Context004.jpg",197.7317,"7&",1.1263
"SON2_022.93","239",1,93,93,"neutral","20M_N.png","Context004.jpg",199.7817,"1!",1.1682
"SON2_022.94","239",1,94,94,"negative","36M_F.png","Context004.jpg",201.8318,"1!",1.129
"SON2_022.95","239",1,95,95,"positive","34M_H.png","Context004.jpg",203.8826,"1!",1.5616
"SON2_022.96","239",1,96,96,"neutral","21M_N.png","Context004.jpg",205.932,"7&",1.0251
"SON2_022.97","239",1,97,97,"positive","10F_H.png","Context004.jpg",207.9821,"7&",0.6252
"SON2_022.98","239",1,98,98,"neutral","10F_N.png","Context004.jpg",210.0326,"1!",0.9509
"SON2_022.99","239",1,99,99,"positive","37M_H.png","Context004.jpg",212.0833,"1!",0.9653
"SON2_022.100","239",1,100,100,"neutral","13F_N.png","Context004.jpg",214.1329,"1!",1.0782
"SON2_022.101","239",1,101,101,"positive","29M_H.png","Context004.jpg",216.1834,"1!",0.9069
"SON2_022.102","239",1,102,102,"positive","03F_H.png","Context004.jpg",218.234,"7&",0.5705
"SON2_022.103","239",1,103,103,"positive","31M_H.png","Context004.jpg",220.2829,"7&",0.8153
"SON2_022.104","239",1,104,104,"neutral","32M_N.png","Context004.jpg",222.3336,"1!",1.056
"SON2_022.105","239",1,105,105,"positive","27M_H.png","Context004.jpg",224.4168,"1!",0.9676
"SON2_022.106","239",1,106,106,"neutral","39M_N.png","Context004.jpg",226.4674,"7&",0.9992
"SON2_022.107","239",1,107,107,"neutral","15F_N.png","Context004.jpg",228.5171,"7&",0.9919
"SON2_022.108","239",1,108,108,"negative","24M_F.png","Context004.jpg",230.5674,"1!",1.0127
"SON2_022.109","239",1,109,109,"negative","28M_F.png","Context004.jpg",232.6171,"1!",0.6774
"SON2_022.110","239",1,110,110,"positive","06F_H.png","Context004.jpg",234.6676,"7&",0.698
"SON2_022.111","239",1,111,111,"positive","13F_H.png","Context004.jpg",236.7173,"1!",0.86
"SON2_022.112","239",1,112,112,"neutral","02F_N.png","Context004.jpg",238.7682,"7&",1.5095
"SON2_022.113","239",1,113,113,"positive","41M_H.png","Context004.jpg",240.8178,"1!",0.7363
"SON2_022.114","239",1,114,114,"negative","41M_F.png","Context004.jpg",242.8677,"1!",1.3969
"SON2_022.115","239",1,115,115,"positive","23M_H.png","Context004.jpg",244.9176,"7&",0.9422
"SON2_022.116","239",1,116,116,"negative","43M_F.png","Context004.jpg",246.9686,"7&",1.3884
"SON2_022.117","239",1,117,117,"neutral","18F_N.png","Context004.jpg",249.0013,"7&",0.9228
"SON2_022.118","239",1,118,118,"negative","06F_F.png","Context004.jpg",251.0349,"7&",0.7425
"SON2_022.119","239",1,119,119,"neutral","05F_N.png","Context004.jpg",253.0682,"1!",0.7786
"SON2_022.120","239",1,120,120,"neutral","25M_N.png","Context004.jpg",255.1193,"1!",0.6243
"SON2_022.121","239",1,121,121,"negative","32M_F.png","Context004.jpg",257.1692,"1!",0.698
"SON2_022.122","239",1,122,122,"positive","19F_H.png","Context004.jpg",259.2192,"7&",0.6091
"SON2_022.123","239",1,123,123,"neutral","36M_N.png","Context004.jpg",261.2694,"1!",1.1154
"SON2_022.124","239",1,124,124,"negative","20M_F.png","Context004.jpg",263.3196,"1!",0.8203
"SON2_022.125","239",1,125,125,"negative","14F_F.png","Context004.jpg",265.3695,"1!",0.9989
"SON2_022.126","239",1,126,126,"negative","03F_F.png","Context004.jpg",267.4201,"7&",1.1446
"SON2_021.1","567",1,1,1,"negative","26M_F.png","Context001.jpg",487.8345,"",NA
"SON2_021.2","567",1,2,2,"neutral","24M_N.png","Context002.jpg",489.918,"7&",-0.0318
"SON2_021.3","567",1,3,3,"positive","07F_H.png","Context003.jpg",492.0012,"",NA
"SON2_021.4","567",1,4,4,"positive","11F_H.png","Context004.jpg",494.0678,"7&",0.9658
"SON2_021.5","567",1,5,5,"neutral","28M_N.png","Context001.jpg",496.1352,"1!",1.3762
"SON2_021.6","567",1,6,6,"negative","22M_F.png","Context002.jpg",498.2014,"7&",1.544
"SON2_021.7","567",1,7,7,"neutral","11F_N.png","Context003.jpg",500.2519,"7&",0.877
"SON2_021.8","567",1,8,8,"positive","16F_H.png","Context004.jpg",502.3197,"7&",1.141
"SON2_021.9","567",1,9,9,"neutral","33M_N.png","Context004.jpg",504.3698,"1!",1.112
"SON2_021.10","567",1,10,10,"positive","09F_H.png","Context004.jpg",506.4368,"7&",0.8366
"SON2_021.11","567",1,11,11,"negative","15F_F.png","Context004.jpg",508.5032,"7&",0.7027
"SON2_021.12","567",1,12,12,"positive","05F_H.png","Context004.jpg",510.5523,"1!",0.9002
"SON2_021.13","567",1,13,13,"negative","38M_F.png","Context004.jpg",512.6024,"7&",1.8559
"SON2_021.14","567",1,14,14,"negative","30M_F.png","Context004.jpg",514.6526,"1!",0.8747
"SON2_021.15","567",1,15,15,"negative","17F_F.png","Context004.jpg",516.7037,"7&",0.6743
"SON2_021.16","567",1,16,16,"positive","08F_H.png","Context004.jpg",518.7702,"7&",0.6299
"SON2_021.17","567",1,17,17,"negative","29M_F.png","Context004.jpg",520.8195,"1!",0.8212
"SON2_021.18","567",1,18,18,"neutral","08F_N.png","Context004.jpg",522.8706,"1!",0.976
"SON2_021.19","567",1,19,19,"negative","33M_F.png","Context004.jpg",524.92,"1!",0.8636
"SON2_021.20","567",1,20,20,"negative","31M_F.png","Context004.jpg",526.9701,"",NA
"SON2_021.21","567",1,21,21,"negative","37M_F.png","Context004.jpg",529.02,"1!",1.0925
"SON2_021.22","567",1,22,22,"neutral","22M_N.png","Context004.jpg",531.071,"1!",0.8923
"SON2_021.23","567",1,23,23,"neutral","37M_N.png","Context004.jpg",533.1379,"7&",0.8593
"SON2_021.24","567",1,24,24,"positive","20M_H.png","Context004.jpg",535.1872,"7&",0.6991
"SON2_021.25","567",1,25,25,"neutral","31M_N.png","Context004.jpg",537.2544,"7&",1.9141
"SON2_021.26","567",1,26,26,"positive","01F_H.png","Context004.jpg",539.3048,"7&",0.7019
"SON2_021.27","567",1,27,27,"positive","22M_H.png","Context004.jpg",541.3549,"1!",0.7897
"SON2_021.28","567",1,28,28,"neutral","41M_N.png","Context004.jpg",543.4046,"7&",0.9942
"SON2_021.29","567",1,29,29,"neutral","06F_N.png","Context004.jpg",545.455,"7&",0.7025
"SON2_021.30","567",1,30,30,"positive","43M_H.png","Context004.jpg",547.5052,"7&",1.0316
"SON2_021.31","567",1,31,31,"positive","02F_H.png","Context004.jpg",549.5554,"7&",1.4904
"SON2_021.32","567",1,32,32,"neutral","16F_N.png","Context004.jpg",551.6057,"7&",0.8991
"SON2_021.33","567",1,33,33,"positive","32M_H.png","Context004.jpg",553.6555,"7&",0.7357
"SON2_021.34","567",1,34,34,"positive","17F_H.png","Context004.jpg",555.7054,"7&",0.6655
"SON2_021.35","567",1,35,35,"positive","33M_H.png","Context004.jpg",557.756,"7&",0.6233
"SON2_021.36","567",1,36,36,"negative","21M_F.png","Context004.jpg",559.8062,"7&",1.4951
"SON2_021.37","567",1,37,37,"neutral","01F_N.png","Context004.jpg",561.8561,"1!",1.0558
"SON2_021.38","567",1,38,38,"negative","08F_F.png","Context004.jpg",563.9061,"7&",0.5312
"SON2_021.39","567",1,39,39,"neutral","43M_N.png","Context004.jpg",565.9564,"7&",0.546
"SON2_021.40","567",1,40,40,"negative","12F_F.png","Context004.jpg",568.0062,"7&",0.6064
"SON2_021.41","567",1,41,41,"neutral","27M_N.png","Context004.jpg",570.0734,"7&",0.7328
"SON2_021.42","567",1,42,42,"neutral","14F_N.png","Context004.jpg",572.1236,"7&",0.7416
"SON2_021.43","567",1,43,43,"positive","30M_H.png","Context004.jpg",574.1736,"1!",1.1604
"SON2_021.44","567",1,44,44,"neutral","03F_N.png","Context004.jpg",576.2233,"7&",0.8641
"SON2_021.45","567",1,45,45,"neutral","23M_N.png","Context004.jpg",578.2737,"7&",0.7279
"SON2_021.46","567",1,46,46,"negative","40M_F.png","Context004.jpg",580.3246,"7&",1.0297
"SON2_021.47","567",1,47,47,"positive","25M_H.png","Context004.jpg",582.3747,"7&",0.6673
"SON2_021.48","567",1,48,48,"negative","13F_F.png","Context004.jpg",584.4248,"",NA
"SON2_021.49","567",1,49,49,"neutral","40M_N.png","Context004.jpg",586.4742,"1!",-0.0186
"SON2_021.50","567",1,50,50,"negative","09F_F.png","Context004.jpg",588.5416,"7&",0.5988
"SON2_021.51","567",1,51,51,"negative","16F_F.png","Context004.jpg",590.5914,"7&",0.5777
"SON2_021.52","567",1,52,52,"neutral","26M_N.png","Context004.jpg",592.6589,"1!",0.8495
"SON2_021.53","567",1,53,53,"neutral","07F_N.png","Context004.jpg",594.7088,"7&",0.6063
"SON2_021.54","567",1,54,54,"negative","35M_F.png","Context004.jpg",596.7749,"1!",0.6193
"SON2_021.55","567",1,55,55,"neutral","17F_N.png","Context004.jpg",598.8252,"7&",0.4826
"SON2_021.56","567",1,56,56,"neutral","38M_N.png","Context004.jpg",600.8757,"7&",0.6158
"SON2_021.57","567",1,57,57,"positive","18F_H.png","Context004.jpg",602.9254,"7&",0.5193
"SON2_021.58","567",1,58,58,"negative","39M_F.png","Context004.jpg",604.9753,"7&",0.5791
"SON2_021.59","567",1,59,59,"negative","27M_F.png","Context004.jpg",607.0255,"7&",0.4399
"SON2_021.60","567",1,60,60,"positive","26M_H.png","Context004.jpg",609.0758,"7&",0.3863
"SON2_021.61","567",1,61,61,"negative","10F_F.png","Context004.jpg",611.1266,"7&",0.7272
"SON2_021.62","567",1,62,62,"positive","28M_H.png","Context004.jpg",613.1762,"7&",0.762
"SON2_021.63","567",1,63,63,"neutral","29M_N.png","Context004.jpg",615.2263,"1!",0.8807
"SON2_021.64","567",1,64,64,"negative","19F_F.png","Context004.jpg",617.2763,"7&",0.6576
"SON2_021.65","567",1,65,65,"negative","18F_F.png","Context004.jpg",619.3272,"7&",0.5643
"SON2_021.66","567",1,66,66,"positive","12F_H.png","Context004.jpg",621.3767,"7&",0.9574
"SON2_021.67","567",1,67,67,"positive","14F_H.png","Context004.jpg",623.4266,"1!",0.8197
"SON2_021.68","567",1,68,68,"neutral","42M_N.png","Context004.jpg",625.4768,"7&",0.4596
"SON2_021.69","567",1,69,69,"neutral","34M_N.png","Context004.jpg",627.5277,"7&",0.5912
"SON2_021.70","567",1,70,70,"negative","34M_F.png","Context004.jpg",629.5936,"7&",0.7222
"SON2_021.71","567",1,71,71,"positive","42M_H.png","Context004.jpg",631.6441,"7&",0.9283
"SON2_021.72","567",1,72,72,"negative","01F_F.png","Context004.jpg",633.6949,"7&",0.7891
"SON2_021.73","567",1,73,73,"negative","05F_F.png","Context004.jpg",635.7445,"7&",0.6463
"SON2_021.74","567",1,74,74,"negative","07F_F.png","Context004.jpg",637.7942,"7&",0.7882
"SON2_021.75","567",1,75,75,"neutral","09F_N.png","Context004.jpg",639.8617,"7&",0.6562
"SON2_021.76","567",1,76,76,"negative","25M_F.png","Context004.jpg",641.912,"7&",0.5972
"SON2_021.77","567",1,77,77,"positive","38M_H.png","Context004.jpg",643.9785,"7&",0.6009
"SON2_021.78","567",1,78,78,"neutral","30M_N.png","Context004.jpg",646.0283,"7&",0.3466
"SON2_021.79","567",1,79,79,"positive","15F_H.png","Context004.jpg",648.0791,"7&",0.4794
"SON2_021.80","567",1,80,80,"negative","42M_F.png","Context004.jpg",650.1288,"7&",0.5631
"SON2_021.81","567",1,81,81,"negative","02F_F.png","Context004.jpg",652.1791,"7&",1.2726
"SON2_021.82","567",1,82,82,"positive","36M_H.png","Context004.jpg",654.2294,"7&",0.7397
"SON2_021.83","567",1,83,83,"neutral","19F_N.png","Context004.jpg",656.2796,"7&",0.7232
"SON2_021.84","567",1,84,84,"negative","11F_F.png","Context004.jpg",658.3294,"7&",0.8228
"SON2_021.85","567",1,85,85,"positive","35M_H.png","Context004.jpg",660.3967,"7&",0.6632
"SON2_021.86","567",1,86,86,"neutral","35M_N.png","Context004.jpg",662.4459,"7&",0.5116
"SON2_021.87","567",1,87,87,"neutral","12F_N.png","Context004.jpg",664.5131,"7&",0.5615
"SON2_021.88","567",1,88,88,"positive","39M_H.png","Context004.jpg",666.5807,"7&",0.6643
"SON2_021.89","567",1,89,89,"positive","40M_H.png","Context004.jpg",668.6297,"7&",0.7353
"SON2_021.90","567",1,90,90,"negative","23M_F.png","Context004.jpg",670.6823,"7&",0.9546
"SON2_021.91","567",1,91,91,"positive","21M_H.png","Context004.jpg",672.7302,"7&",0.5951
"SON2_021.92","567",1,92,92,"positive","24M_H.png","Context004.jpg",674.7811,"7&",0.6657
"SON2_021.93","567",1,93,93,"neutral","20M_N.png","Context004.jpg",676.8306,"1!",1.1384
"SON2_021.94","567",1,94,94,"negative","36M_F.png","Context004.jpg",678.8807,"7&",0.7579
"SON2_021.95","567",1,95,95,"positive","34M_H.png","Context004.jpg",680.9476,"7&",0.5962
"SON2_021.96","567",1,96,96,"neutral","21M_N.png","Context004.jpg",682.9973,"7&",0.713
"SON2_021.97","567",1,97,97,"positive","10F_H.png","Context004.jpg",685.0476,"7&",0.6445
"SON2_021.98","567",1,98,98,"neutral","10F_N.png","Context004.jpg",687.0982,"1!",1.0374
"SON2_021.99","567",1,99,99,"positive","37M_H.png","Context004.jpg",689.1483,"7&",0.716
"SON2_021.100","567",1,100,100,"neutral","13F_N.png","Context004.jpg",691.2154,"7&",0.6033
"SON2_021.101","567",1,101,101,"positive","29M_H.png","Context004.jpg",693.2651,"1!",1.7308
"SON2_021.102","567",1,102,102,"positive","03F_H.png","Context004.jpg",695.3148,"7&",0.7315
"SON2_021.103","567",1,103,103,"positive","31M_H.png","Context004.jpg",697.3653,"7&",0.8768
"SON2_021.104","567",1,104,104,"neutral","32M_N.png","Context004.jpg",699.4326,"7&",0.5574
"SON2_021.105","567",1,105,105,"positive","27M_H.png","Context004.jpg",701.5824,"7&",1.7792
"SON2_021.106","567",1,106,106,"neutral","39M_N.png","Context004.jpg",703.6325,"7&",0.6478
"SON2_021.107","567",1,107,107,"neutral","15F_N.png","Context004.jpg",705.683,"7&",0.6475
"SON2_021.108","567",1,108,108,"negative","24M_F.png","Context004.jpg",707.7323,"7&",0.8882
"SON2_021.109","567",1,109,109,"negative","28M_F.png","Context004.jpg",709.7825,"7&",0.647
"SON2_021.110","567",1,110,110,"positive","06F_H.png","Context004.jpg",711.8332,"7&",0.7537
"SON2_021.111","567",1,111,111,"positive","13F_H.png","Context004.jpg",713.8834,"7&",0.5414
"SON2_021.112","567",1,112,112,"neutral","02F_N.png","Context004.jpg",715.9336,"",NA
"SON2_021.113","567",1,113,113,"positive","41M_H.png","Context004.jpg",717.9838,"7&",0.9807
"SON2_021.114","567",1,114,114,"negative","41M_F.png","Context004.jpg",720.0501,"1!",0.7166
"SON2_021.115","567",1,115,115,"positive","23M_H.png","Context004.jpg",722.1006,"7&",0.6904
"SON2_021.116","567",1,116,116,"negative","43M_F.png","Context004.jpg",724.1506,"7&",0.5392
"SON2_021.117","567",1,117,117,"neutral","18F_N.png","Context004.jpg",726.2003,"7&",0.5639
"SON2_021.118","567",1,118,118,"negative","06F_F.png","Context004.jpg",728.2673,"7&",0.4778
"SON2_021.119","567",1,119,119,"neutral","05F_N.png","Context004.jpg",730.3176,"7&",0.5037
"SON2_021.120","567",1,120,120,"neutral","25M_N.png","Context004.jpg",732.3851,"7&",0.5137
"SON2_021.121","567",1,121,121,"negative","32M_F.png","Context004.jpg",734.435,"1!",1.7394
"SON2_021.122","567",1,122,122,"positive","19F_H.png","Context004.jpg",736.5022,"7&",0.5086
"SON2_021.123","567",1,123,123,"neutral","36M_N.png","Context004.jpg",738.5682,"7&",1.0674
"SON2_021.124","567",1,124,124,"negative","20M_F.png","Context004.jpg",740.6347,"1!",1.4454
"SON2_021.125","567",1,125,125,"negative","14F_F.png","Context004.jpg",742.6853,"1!",1.0023
"SON2_021.126","567",1,126,126,"negative","03F_F.png","Context004.jpg",744.7352,"1!",1.866
"SON2_020.1","2",1,1,1,"negative","26M_F.png","Context001.jpg",117.4985,"",NA
"SON2_020.2","2",1,2,2,"neutral","24M_N.png","Context002.jpg",119.565,"1!",0.8464
"SON2_020.3","2",1,3,3,"positive","07F_H.png","Context003.jpg",121.6153,"7&",1.1702
"SON2_020.4","2",1,4,4,"positive","11F_H.png","Context004.jpg",123.6657,"7&",0.8589
"SON2_020.5","2",1,5,5,"neutral","28M_N.png","Context001.jpg",125.7155,"1!",0.9156
"SON2_020.6","2",1,6,6,"negative","22M_F.png","Context002.jpg",127.7653,"1!",1.1883
"SON2_020.7","2",1,7,7,"neutral","11F_N.png","Context003.jpg",129.8158,"7&",0.96
"SON2_020.8","2",1,8,8,"positive","16F_H.png","Context004.jpg",131.8663,"1!",1.2275
"SON2_020.9","2",1,9,9,"neutral","33M_N.png","Context004.jpg",133.9161,"1!",1.1845
"SON2_020.10","2",1,10,10,"positive","09F_H.png","Context004.jpg",135.9657,"7&",0.888
"SON2_020.11","2",1,11,11,"negative","15F_F.png","Context004.jpg",138.0167,"7&",1.1939
"SON2_020.12","2",1,12,12,"positive","05F_H.png","Context004.jpg",140.0667,"1!",1.0276
"SON2_020.13","2",1,13,13,"negative","38M_F.png","Context004.jpg",142.117,"1!",1.0064
"SON2_020.14","2",1,14,14,"negative","30M_F.png","Context004.jpg",144.1667,"1!",0.986
"SON2_020.15","2",1,15,15,"negative","17F_F.png","Context004.jpg",146.2165,"7&",0.8327
"SON2_020.16","2",1,16,16,"positive","08F_H.png","Context004.jpg",148.2675,"1!",1.2702
"SON2_020.17","2",1,17,17,"negative","29M_F.png","Context004.jpg",150.3175,"1!",0.8372
"SON2_020.18","2",1,18,18,"neutral","08F_N.png","Context004.jpg",152.3675,"1!",0.9579
"SON2_020.19","2",1,19,19,"negative","33M_F.png","Context004.jpg",154.4179,"1!",1.4854
"SON2_020.20","2",1,20,20,"negative","31M_F.png","Context004.jpg",156.4676,"7&",1.1214
"SON2_020.21","2",1,21,21,"negative","37M_F.png","Context004.jpg",158.5178,"1!",0.993
"SON2_020.22","2",1,22,22,"neutral","22M_N.png","Context004.jpg",160.5678,"1!",0.8228
"SON2_020.23","2",1,23,23,"neutral","37M_N.png","Context004.jpg",162.6178,"1!",1.0624
"SON2_020.24","2",1,24,24,"positive","20M_H.png","Context004.jpg",164.6685,"7&",0.9012
"SON2_020.25","2",1,25,25,"neutral","31M_N.png","Context004.jpg",166.7178,"7&",1.1408
"SON2_020.26","2",1,26,26,"positive","01F_H.png","Context004.jpg",168.7687,"7&",1.0536
