"","Participant","Run","Block","Trial","Condition","Image","RestImage","ConditionOnset","ConditionResposne","ConditionRt"
"SON2_007.59","7",1,59,59,"negative","27M_F.png","Context004.jpg",186.0275,"7&",1.1111
"SON2_007.60","7",1,60,60,"positive","26M_H.png","Context004.jpg",188.1053,"7&",1.6494
"SON2_007.61","7",1,61,61,"negative","10F_F.png","Context004.jpg",190.184,"1!",1.5708
"SON2_007.62","7",1,62,62,"positive","28M_H.png","Context004.jpg",192.2622,"1!",0.8045
"SON2_007.63","7",1,63,63,"neutral","29M_N.png","Context004.jpg",194.3242,"7&",1.2946
"SON2_007.64","7",1,64,64,"negative","19F_F.png","Context004.jpg",196.4026,"1!",1.4721
"SON2_007.65","7",1,65,65,"negative","18F_F.png","Context004.jpg",198.4647,"7&",0.7858
"SON2_007.66","7",1,66,66,"positive","12F_H.png","Context004.jpg",200.5429,"1!",1.2678
"SON2_007.67","7",1,67,67,"positive","14F_H.png","Context004.jpg",202.605,"1!",1.4216
"SON2_007.68","7",1,68,68,"neutral","42M_N.png","Context004.jpg",204.6831,"",NA
"SON2_007.69","7",1,69,69,"neutral","34M_N.png","Context004.jpg",206.7614,"7&",0.0652
"SON2_007.70","7",1,70,70,"negative","34M_F.png","Context004.jpg",208.8399,"7&",0.9307
"SON2_007.71","7",1,71,71,"positive","42M_H.png","Context004.jpg",210.9183,"7&",0.8043
"SON2_007.72","7",1,72,72,"negative","01F_F.png","Context004.jpg",212.9806,"1!",1.2626
"SON2_007.73","7",1,73,73,"negative","05F_F.png","Context004.jpg",215.0594,"1!",1.3121
"SON2_007.74","7",1,74,74,"negative","07F_F.png","Context004.jpg",217.1206,"1!",1.146
"SON2_007.75","7",1,75,75,"neutral","09F_N.png","Context004.jpg",219.1988,"7&",0.8118
"SON2_007.76","7",1,76,76,"negative","25M_F.png","Context004.jpg",221.2773,"7&",1.6056
"SON2_007.77","7",1,77,77,"positive","38M_H.png","Context004.jpg",223.3558,"7&",0.7269
"SON2_007.78","7",1,78,78,"neutral","30M_N.png","Context004.jpg",225.4342,"7&",0.9445
"SON2_007.79","7",1,79,79,"positive","15F_H.png","Context004.jpg",227.5127,"1!",1.2421
"SON2_007.80","7",1,80,80,"negative","42M_F.png","Context004.jpg",229.5911,"1!",1.3237
"SON2_007.81","7",1,81,81,"negative","02F_F.png","Context004.jpg",231.6698,"1!",0.7732
"SON2_007.82","7",1,82,82,"positive","36M_H.png","Context004.jpg",233.7479,"7&",0.7748
"SON2_007.83","7",1,83,83,"neutral","19F_N.png","Context004.jpg",235.8263,"1!",1.0804
"SON2_007.84","7",1,84,84,"negative","11F_F.png","Context004.jpg",237.9048,"1!",1.4179
"SON2_007.85","7",1,85,85,"positive","35M_H.png","Context004.jpg",239.9662,"7&",1.4121
"SON2_007.86","7",1,86,86,"neutral","35M_N.png","Context004.jpg",242.0119,"1!",1.0871
"SON2_007.87","7",1,87,87,"neutral","12F_N.png","Context004.jpg",244.0736,"1!",0.8492
"SON2_007.88","7",1,88,88,"positive","39M_H.png","Context004.jpg",246.1356,"1!",1.1553
"SON2_007.89","7",1,89,89,"positive","40M_H.png","Context004.jpg",248.2138,"7&",1.0209
"SON2_007.90","7",1,90,90,"negative","23M_F.png","Context004.jpg",250.2756,"7&",0.7911
"SON2_007.91","7",1,91,91,"positive","21M_H.png","Context004.jpg",252.3541,"7&",0.7686
"SON2_007.92","7",1,92,92,"positive","24M_H.png","Context004.jpg",254.4326,"7&",1.1702
